                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1037,                 5.4109,                 4.2607,                 0.0002,                0.03645,                0.00013,                  4e-05,                 2.7744,                 4.4923,                 4.1903,             0.00023367,             0.00023367,             0.00023367
                      2,                 2.8622,                  4.761,                 3.7891,                0.04886,                0.14874,                0.03542,                0.00979,                 2.5629,                  4.076,                 3.6178,             0.00047156,             0.00047156,             0.00047156
                      3,                 2.6127,                 4.1491,                 3.3323,                0.01152,                0.20068,                0.01294,                0.00282,                 2.8115,                 88.641,                 5.1651,             0.00070898,             0.00070898,             0.00070898
                      4,                 2.2641,                 3.7012,                 2.8862,                0.20109,                0.12288,                0.05756,                0.02545,                 2.1313,                 3.6594,                 3.0165,             0.00071243,             0.00071243,             0.00071243
                      5,                 2.0225,                  3.344,                 2.6671,                 0.3221,                0.32007,                0.22764,                0.11886,                 1.7351,                 2.7177,                 2.5386,             0.00071243,             0.00071243,             0.00071243
                      6,                 1.8678,                 3.0526,                 2.4863,                 0.3581,                0.28182,                0.22346,                0.10748,                  1.764,                 2.6655,                 2.5651,             0.00071121,             0.00071121,             0.00071121
                      7,                 1.7316,                 2.8318,                 2.3718,                0.26985,                0.52665,                0.30548,                0.19106,                 1.5104,                  3.432,                 2.2684,             0.00070965,             0.00070965,             0.00070965
                      8,                 1.6374,                 2.6501,                  2.277,                0.53249,                0.43803,                0.40364,                0.25008,                 1.4402,                 2.3972,                 2.1609,             0.00070774,             0.00070774,             0.00070774
                      9,                 1.5324,                 2.5263,                  2.175,                0.39667,                0.46406,                0.41895,                0.27324,                 1.3495,                 2.0446,                 2.1227,             0.00070549,             0.00070549,             0.00070549
                     10,                 1.4975,                 2.3987,                 2.0977,                0.38874,                0.64239,                0.47717,                0.31053,                 1.2045,                 2.2068,                 1.9348,              0.0007029,              0.0007029,              0.0007029
                     11,                 1.4418,                 2.2449,                 2.0262,                0.50686,                0.46276,                0.48944,                0.33079,                 1.2568,                 1.9999,                 1.9136,             0.00069997,             0.00069997,             0.00069997
                     12,                 1.4228,                 2.1661,                 2.0025,                0.52394,                0.51837,                0.53949,                0.38378,                 1.1349,                 1.7573,                 1.8353,              0.0006967,              0.0006967,              0.0006967
                     13,                 1.3417,                 2.0093,                 1.9391,                0.68335,                0.50387,                0.60698,                0.44122,                 1.1194,                 1.6828,                 1.8133,             0.00069311,             0.00069311,             0.00069311
                     14,                 1.3315,                 2.0184,                 1.9275,                0.55042,                0.61135,                0.59162,                0.43287,                 1.0647,                 1.6821,                 1.7489,             0.00068918,             0.00068918,             0.00068918
                     15,                 1.3115,                 1.8869,                 1.8638,                0.52068,                0.60064,                0.61042,                0.42508,                 1.0919,                 1.7393,                 1.7756,             0.00068493,             0.00068493,             0.00068493
                     16,                 1.2712,                 1.8498,                 1.8417,                0.59411,                0.67493,                0.65819,                0.44651,                 1.1637,                 1.5641,                 1.8533,             0.00068036,             0.00068036,             0.00068036
                     17,                 1.2387,                 1.7411,                 1.8153,                0.62397,                0.64238,                0.73027,                0.55764,                0.96483,                  1.362,                  1.609,             0.00067548,             0.00067548,             0.00067548
