                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.76953,                 2.3935,                  1.134,                0.72297,                    0.7,                0.76514,                 0.6138,                0.70693,                 1.8613,                 1.1327,             0.00023367,             0.00023367,             0.00023367
                      2,                0.88745,                 1.5489,                 1.2505,                0.11604,                 0.4462,                0.08956,                0.06786,                 1.0306,                    inf,                  1.534,             0.00046233,             0.00046233,             0.00046233
                      3,                0.96545,                 1.4785,                 1.3032,                0.53988,                0.22014,                0.18298,                0.12319,                 1.4473,                 6.6764,                 1.8554,             0.00068157,             0.00068157,             0.00068157
                      4,                0.96937,                 1.5118,                  1.302,                0.53777,                0.50611,                0.54477,                0.39984,                 1.0021,                 3.6215,                 1.6408,             0.00067159,             0.00067159,             0.00067159
                      5,                0.97831,                 1.3035,                 1.3058,                0.69885,                0.57692,                0.62603,                0.48011,                0.96814,                 2.9205,                 1.4478,             0.00065745,             0.00065745,             0.00065745
                      6,                0.91075,                 1.1457,                 1.2632,                0.66359,                 0.6867,                0.76459,                0.60413,                0.80337,                 2.4529,                 1.3025,             0.00064331,             0.00064331,             0.00064331
                      7,                0.89469,                 1.1194,                 1.2462,                0.68821,                0.63231,                0.64767,                0.51194,                  0.882,                 1.4262,                 1.3138,             0.00062918,             0.00062918,             0.00062918
                      8,                0.86009,                 1.0271,                 1.2195,                0.71172,                0.75345,                0.81735,                0.62484,                 0.8117,                 1.2147,                 1.2615,             0.00061504,             0.00061504,             0.00061504
                      9,                0.86333,                 1.0246,                 1.2261,                0.83613,                0.69374,                 0.8243,                0.65675,                0.77514,                 1.1866,                 1.2072,              0.0006009,              0.0006009,              0.0006009
                     10,                0.84211,                0.91289,                 1.2056,                0.82329,                0.83515,                0.88083,                0.72591,                0.71374,                0.86727,                 1.1807,             0.00058677,             0.00058677,             0.00058677
                     11,                0.81735,                0.89634,                 1.2002,                0.83275,                 0.8504,                0.89766,                0.72761,                0.74317,                0.72108,                 1.1695,             0.00057263,             0.00057263,             0.00057263
                     12,                0.80854,                0.85256,                 1.1972,                0.84116,                0.82517,                0.90731,                0.75405,                0.68827,                0.77837,                 1.1439,             0.00055849,             0.00055849,             0.00055849
                     13,                0.78405,                0.83108,                 1.1735,                0.84861,                0.77253,                 0.8845,                0.71701,                0.72462,                0.83706,                 1.1572,             0.00054435,             0.00054435,             0.00054435
                     14,                0.73356,                0.76529,                 1.1319,                0.84761,                0.85258,                0.90449,                0.75789,                0.62812,                0.69523,                 1.0775,             0.00053022,             0.00053022,             0.00053022
                     15,                0.73617,                0.78243,                 1.1605,                0.82094,                 0.8809,                0.92137,                0.77393,                0.64916,                0.66255,                  1.103,             0.00051608,             0.00051608,             0.00051608
                     16,                0.71224,                0.72797,                 1.1208,                0.88945,                0.81995,                0.93167,                0.77082,                0.64345,                 0.6819,                 1.1041,             0.00050194,             0.00050194,             0.00050194
                     17,                0.72623,                0.71273,                 1.1379,                0.89304,                 0.8637,                0.94673,                 0.7984,                0.62559,                0.58857,                 1.0818,              0.0004878,              0.0004878,              0.0004878
                     18,                  0.718,                0.71843,                 1.1131,                0.88628,                0.81978,                0.90373,                0.76032,                0.64985,                0.68303,                 1.1286,             0.00047367,             0.00047367,             0.00047367
