                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.77708,                 2.6917,                 1.1103,                0.74916,                0.68946,                0.73596,                0.60274,                0.66485,                 1.9178,                 1.0194,             0.00023367,             0.00023367,             0.00023367
                      2,                0.78315,                  1.387,                 1.1611,                0.73033,                0.74974,                0.80459,                0.63052,                0.76374,                 1.1779,                 1.1668,             0.00046233,             0.00046233,             0.00046233
                      3,                0.82968,                 1.2872,                 1.1838,                0.61621,                0.68815,                0.67174,                0.51695,                0.78207,                 2.0711,                 1.1392,             0.00068157,             0.00068157,             0.00068157
                      4,                0.84004,                 1.1889,                 1.1932,                0.57384,                0.48038,                0.47679,                0.33465,                0.96553,                  2.505,                  1.381,             0.00067159,             0.00067159,             0.00067159
                      5,                0.83539,                 1.0423,                 1.1896,                0.70449,                0.69008,                0.73209,                0.56441,                0.84951,                 1.5884,                  1.252,             0.00065745,             0.00065745,             0.00065745
                      6,                 0.8081,                0.97165,                 1.1705,                 0.7699,                0.77652,                0.85505,                0.68018,                0.75905,                 1.2918,                 1.1527,             0.00064331,             0.00064331,             0.00064331
                      7,                0.80016,                0.94002,                 1.1526,                0.87361,                0.82464,                0.90499,                0.74342,                0.71514,                0.80671,                 1.1245,             0.00062918,             0.00062918,             0.00062918
                      8,                0.75118,                0.84041,                 1.1345,                0.86218,                0.82906,                0.91981,                 0.7655,                0.65066,                0.80301,                 1.0843,             0.00061504,             0.00061504,             0.00061504
                      9,                0.77479,                0.82888,                 1.1541,                0.79221,                0.86109,                0.89322,                0.71848,                0.72148,                0.84941,                 1.1231,              0.0006009,              0.0006009,              0.0006009
                     10,                0.74629,                0.77775,                 1.1245,                0.84774,                0.84806,                 0.9101,                0.74689,                0.66971,                0.71009,                 1.0999,             0.00058677,             0.00058677,             0.00058677
                     11,                0.74491,                0.78506,                 1.1312,                0.78153,                0.84501,                0.88677,                0.73425,                0.66536,                0.76566,                 1.0978,             0.00057263,             0.00057263,             0.00057263
                     12,                0.73086,                0.78232,                 1.1196,                0.85945,                0.83915,                 0.9013,                0.75009,                0.66458,                0.70612,                 1.0541,             0.00055849,             0.00055849,             0.00055849
                     13,                 0.6807,                0.71204,                 1.0819,                0.83161,                 0.8366,                0.89908,                 0.7433,                0.65658,                0.71392,                  1.081,             0.00054435,             0.00054435,             0.00054435
                     14,                0.67147,                 0.6611,                 1.0625,                0.88143,                0.84337,                0.91624,                0.75963,                0.65105,                0.65028,                 1.0698,             0.00053022,             0.00053022,             0.00053022
                     15,                0.67715,                0.69127,                 1.0965,                0.88514,                0.86329,                0.94051,                0.79784,                0.60461,                0.59735,                 1.0312,             0.00051608,             0.00051608,             0.00051608
                     16,                0.64773,                 0.6552,                 1.0547,                0.88325,                0.86875,                0.92702,                0.77021,                0.62135,                0.63448,                  1.024,             0.00050194,             0.00050194,             0.00050194
                     17,                0.65669,                0.62984,                 1.0745,                0.84502,                0.89005,                0.90954,                0.77803,                0.60305,                0.65482,                 1.0277,              0.0004878,              0.0004878,              0.0004878
                     18,                0.65604,                0.61965,                  1.063,                0.90672,                 0.8658,                0.95536,                0.82572,                0.58021,                0.53608,                 1.0359,             0.00047367,             0.00047367,             0.00047367
                     19,                0.63093,                0.57768,                 1.0519,                 0.8889,                0.91164,                0.95224,                0.81759,                0.58142,                0.53576,                 1.0319,             0.00045953,             0.00045953,             0.00045953
                     20,                0.61647,                0.57063,                 1.0561,                0.84766,                0.87466,                0.90564,                0.77631,                0.58777,                0.65919,                 1.0315,             0.00044539,             0.00044539,             0.00044539
                     21,                0.60028,                0.55723,                 1.0312,                0.90783,                0.90075,                0.95694,                0.82928,                0.57283,                0.54104,                0.99882,             0.00043126,             0.00043126,             0.00043126
                     22,                0.60313,                0.56158,                 1.0294,                0.88302,                0.89188,                0.94552,                0.81872,                0.57285,                0.55677,                0.99556,             0.00041712,             0.00041712,             0.00041712
                     23,                0.59927,                 0.5415,                 1.0271,                0.91134,                0.94634,                0.95888,                0.83411,                 0.5464,                0.47324,                0.98543,             0.00040298,             0.00040298,             0.00040298
                     24,                0.55336,                0.51333,                 1.0117,                0.91783,                0.91494,                 0.9665,                0.84411,                0.55587,                0.44758,                0.98821,             0.00038884,             0.00038884,             0.00038884
                     25,                0.57941,                0.51198,                 1.0188,                0.89751,                0.93904,                0.96599,                0.84389,                0.55501,                0.47765,                0.99391,             0.00037471,             0.00037471,             0.00037471
                     26,                0.57627,                0.50213,                 1.0189,                0.90295,                0.89067,                0.95247,                0.83436,                0.55356,                0.52608,                0.99993,             0.00036057,             0.00036057,             0.00036057
                     27,                0.55963,                0.49878,                 1.0089,                0.90516,                0.93463,                0.96573,                0.85234,                0.53888,                0.47368,                0.97103,             0.00034643,             0.00034643,             0.00034643
                     28,                0.56353,                0.48101,                 1.0188,                0.92322,                0.93199,                0.96791,                 0.8558,                0.53118,                0.42394,                0.97433,              0.0003323,              0.0003323,              0.0003323
                     29,                0.54503,                 0.4799,                0.99955,                0.94631,                0.95805,                0.97028,                 0.8576,                0.52971,                0.41783,                0.96942,             0.00031816,             0.00031816,             0.00031816
                     30,                0.54317,                0.48112,                0.99893,                0.95678,                0.92506,                0.97713,                0.86301,                0.52564,                0.40322,                0.97686,             0.00030402,             0.00030402,             0.00030402
                     31,                0.53836,                0.44615,                 1.0081,                0.91771,                0.96114,                0.97517,                0.85946,                0.52136,                 0.4203,                 0.9578,             0.00028988,             0.00028988,             0.00028988
                     32,                0.52249,                0.43486,                0.98611,                0.94264,                0.91547,                0.97357,                0.87212,                0.50459,                0.41259,                0.94709,             0.00027575,             0.00027575,             0.00027575
                     33,                  0.501,                 0.4155,                0.97888,                0.93976,                 0.9269,                0.97673,                0.86388,                0.51877,                0.38958,                0.96726,             0.00026161,             0.00026161,             0.00026161
