                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.82613,                 3.2901,                 1.0624,                0.87995,                0.19152,                0.63492,                0.52072,                0.61541,                 2.3431,                0.89994,             0.00023367,             0.00023367,             0.00023367
                      2,                0.81515,                 2.0154,                 1.0575,                0.71904,                0.70332,                0.77578,                0.62117,                0.73437,                 1.7048,                0.96102,             0.00046233,             0.00046233,             0.00046233
                      3,                0.83858,                 1.8108,                 1.0654,                0.72442,                 0.7652,                 0.8399,                0.67973,                0.71783,                 1.2151,                0.95047,             0.00068157,             0.00068157,             0.00068157
                      4,                 0.8069,                 1.6778,                 1.0462,                0.67332,                0.70837,                0.74662,                0.59709,                0.72885,                 1.4364,                0.99462,             0.00067159,             0.00067159,             0.00067159
                      5,                0.80071,                 1.5032,                 1.0353,                0.82752,                0.80737,                0.88934,                0.74483,                0.64202,                0.93032,                0.92734,             0.00065745,             0.00065745,             0.00065745
                      6,                0.75984,                  1.378,                 1.0071,                0.86934,                0.76088,                0.88694,                0.73175,                0.67502,                0.98648,                0.94731,             0.00064331,             0.00064331,             0.00064331
                      7,                0.77665,                    1.3,                 1.0277,                0.84169,                0.75161,                0.89798,                0.75256,                0.65787,                0.93862,                0.94026,             0.00062918,             0.00062918,             0.00062918
                      8,                0.73371,                 1.2082,                 1.0007,                0.88947,                0.85718,                0.93481,                0.75982,                0.68903,                0.82526,                0.99401,             0.00061504,             0.00061504,             0.00061504
                      9,                0.73266,                 1.1119,                 1.0131,                0.88323,                0.91646,                0.94974,                0.80661,                0.61571,                0.67481,                0.91439,              0.0006009,              0.0006009,              0.0006009
                     10,                0.69638,                 1.0258,                0.98447,                0.84153,                0.90594,                0.92521,                0.77924,                0.62628,                0.74956,                 0.9246,             0.00058677,             0.00058677,             0.00058677
                     11,                0.71234,                 1.0295,                 0.9913,                0.87358,                0.82685,                0.91375,                0.77253,                0.60364,                0.79725,                0.90519,             0.00057263,             0.00057263,             0.00057263
                     12,                0.69692,                 1.0011,                0.98814,                0.88558,                 0.8676,                0.93499,                0.80134,                0.61282,                0.76076,                0.91358,             0.00055849,             0.00055849,             0.00055849
                     13,                0.67032,                0.96236,                0.97601,                0.89852,                0.91854,                0.95988,                0.80675,                0.61809,                0.66272,                0.91586,             0.00054435,             0.00054435,             0.00054435
                     14,                0.64954,                0.89016,                0.95814,                0.91106,                0.90194,                0.96241,                0.83679,                0.54695,                0.60391,                0.88178,             0.00053022,             0.00053022,             0.00053022
                     15,                0.64054,                0.85692,                0.97414,                0.91799,                0.91788,                0.96506,                0.83654,                0.57955,                0.58995,                0.89605,             0.00051608,             0.00051608,             0.00051608
                     16,                0.63985,                0.80803,                0.95364,                0.92238,                0.88353,                0.95861,                0.83688,                0.55652,                0.59367,                0.89085,             0.00050194,             0.00050194,             0.00050194
                     17,                0.63218,                0.77527,                0.96551,                0.88676,                0.87367,                0.94169,                0.81882,                0.55831,                0.64224,                0.87606,              0.0004878,              0.0004878,              0.0004878
                     18,                0.65275,                0.78756,                0.97119,                0.92462,                 0.8544,                0.95948,                0.83993,                0.55324,                0.60134,                0.88047,             0.00047367,             0.00047367,             0.00047367
                     19,                 0.6213,                0.73115,                0.95655,                0.91168,                0.94528,                0.97162,                 0.8607,                0.52305,                0.51643,                0.87736,             0.00045953,             0.00045953,             0.00045953
                     20,                0.60229,                0.72726,                0.93965,                 0.8786,                0.89697,                0.95305,                0.83182,                0.56183,                0.62015,                0.89112,             0.00044539,             0.00044539,             0.00044539
                     21,                0.60808,                0.68037,                0.94592,                0.91386,                0.95017,                0.96101,                0.83848,                0.53984,                0.52341,                0.88491,             0.00043126,             0.00043126,             0.00043126
                     22,                0.59863,                0.67622,                0.94558,                 0.9417,                0.91837,                0.96861,                0.84492,                0.54481,                0.52182,                0.88665,             0.00041712,             0.00041712,             0.00041712
                     23,                0.58303,                0.67645,                0.93909,                 0.9307,                 0.9472,                0.97028,                0.84926,                0.52719,                 0.4959,                0.86626,             0.00040298,             0.00040298,             0.00040298
                     24,                0.55729,                0.61762,                0.92978,                0.96026,                 0.9535,                 0.9789,                0.86271,                0.54127,                0.45671,                0.88641,             0.00038884,             0.00038884,             0.00038884
                     25,                0.58029,                0.62622,                0.93794,                0.93037,                 0.9275,                0.97025,                0.85184,                0.53708,                0.48748,                0.87297,             0.00037471,             0.00037471,             0.00037471
                     26,                0.57621,                0.60876,                0.94026,                0.94289,                0.95001,                0.97603,                0.85531,                0.53768,                0.48018,                0.88665,             0.00036057,             0.00036057,             0.00036057
                     27,                0.56454,                0.60592,                0.92974,                0.91453,                0.95108,                 0.9672,                0.84702,                0.54613,                0.48576,                 0.8785,             0.00034643,             0.00034643,             0.00034643
                     28,                0.57035,                0.58661,                0.94058,                0.92577,                0.96234,                0.97393,                0.86604,                0.53086,                0.46594,                0.87151,              0.0003323,              0.0003323,              0.0003323
                     29,                0.53998,                0.58845,                 0.9204,                0.91988,                0.93825,                0.96855,                0.86097,                0.51127,                0.46606,                0.86837,             0.00031816,             0.00031816,             0.00031816
                     30,                0.54747,                0.56218,                0.92226,                0.93534,                0.92772,                0.96698,                0.85454,                0.50841,                0.47741,                0.86708,             0.00030402,             0.00030402,             0.00030402
                     31,                 0.5395,                 0.5442,                0.93205,                0.94488,                0.92742,                0.96871,                0.85243,                 0.5326,                0.47336,                0.88656,             0.00028988,             0.00028988,             0.00028988
                     32,                0.53085,                0.54055,                0.92094,                0.94262,                0.96585,                0.97952,                  0.859,                0.54051,                0.42035,                0.89084,             0.00027575,             0.00027575,             0.00027575
                     33,                0.51507,                0.52288,                0.90881,                 0.9395,                0.95934,                 0.9786,                0.87351,                0.50525,                0.41549,                0.87192,             0.00026161,             0.00026161,             0.00026161
                     34,                0.51675,                0.49868,                0.90864,                0.95568,                0.95108,                0.97555,                0.86021,                0.52711,                0.41236,                 0.8854,             0.00024747,             0.00024747,             0.00024747
                     35,                0.50472,                0.49118,                0.90791,                0.96355,                0.96808,                0.98617,                0.87722,                0.50352,                0.38153,                 0.8712,             0.00023334,             0.00023334,             0.00023334
                     36,                0.49983,                0.47604,                0.89948,                0.95262,                0.96707,                0.98361,                0.87387,                0.49791,                0.38357,                0.86708,              0.0002192,              0.0002192,              0.0002192
                     37,                0.49705,                0.48121,                0.90976,                0.96579,                0.96451,                0.97983,                0.87547,                0.50904,                 0.3768,                0.87528,             0.00020506,             0.00020506,             0.00020506
                     38,                0.50574,                0.47949,                0.90257,                0.96265,                0.98267,                0.98448,                0.88376,                0.49024,                0.36378,                0.87192,             0.00019092,             0.00019092,             0.00019092
                     39,                0.49906,                 0.4702,                  0.904,                0.95013,                0.96319,                 0.9786,                0.87314,                0.49992,                 0.3795,                0.86854,             0.00017679,             0.00017679,             0.00017679
                     40,                0.49183,                 0.4575,                0.89828,                0.94076,                0.94674,                 0.9748,                0.86997,                0.49518,                0.39781,                0.86708,             0.00016265,             0.00016265,             0.00016265
                     41,                0.40314,                0.38121,                0.82945,                0.90933,                0.96403,                0.97585,                0.86441,                0.50577,                0.40704,                0.87078,             0.00014851,             0.00014851,             0.00014851
                     42,                0.39177,                0.35822,                0.81989,                0.93097,                0.96793,                0.97938,                0.86866,                0.51022,                0.40147,                0.87999,             0.00013437,             0.00013437,             0.00013437
                     43,                0.38144,                0.35202,                0.81612,                0.93715,                0.96001,                 0.9793,                0.87058,                 0.5205,                0.40834,                0.88223,             0.00012024,             0.00012024,             0.00012024
                     44,                0.38676,                0.34325,                 0.8167,                0.95716,                0.94982,                0.98094,                0.88149,                0.48942,                0.40553,                0.86596,              0.0001061,              0.0001061,              0.0001061
                     45,                0.38215,                0.34257,                0.81161,                0.94577,                0.94849,                0.97708,                0.87788,                0.48739,                0.39451,                0.86386,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     46,                0.37023,                 0.3267,                0.81987,                0.95408,                0.93572,                0.97894,                0.88182,                0.48452,                 0.3993,                0.86097,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     47,                0.36346,                0.32941,                0.82512,                0.94666,                0.96263,                0.97952,                0.87991,                0.49227,                0.38659,                 0.8658,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     48,                0.34772,                0.31354,                0.81172,                0.94256,                0.96951,                   0.98,                0.87778,                0.48514,                0.37819,                0.86135,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     49,                0.35546,                0.31316,                0.81946,                0.94029,                0.95144,                0.98201,                0.88269,                0.47685,                0.38157,                0.85597,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     50,                  0.343,                 0.3032,                0.80828,                0.94783,                0.94847,                0.98246,                0.88763,                0.47581,                0.37377,                0.85738,             2.1277e-05,             2.1277e-05,             2.1277e-05
