                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.81344,                 4.3301,                 1.0798,                 0.7689,                0.76027,                0.82641,                 0.6886,                0.62856,                  1.343,                0.92991,             0.00023367,             0.00023367,             0.00023367
                      2,                0.76548,                 1.3396,                 1.0329,                0.73812,                0.68631,                0.76915,                0.60808,                0.82543,                 1.2483,                 1.0697,             0.00046233,             0.00046233,             0.00046233
                      3,                0.81418,                  1.203,                 1.0601,                0.72324,                0.74614,                0.82054,                0.66583,                0.74272,                 1.2377,                 1.0019,             0.00068157,             0.00068157,             0.00068157
                      4,                0.80963,                 1.1577,                 1.0577,                0.69747,                0.72289,                 0.7707,                0.60767,                0.75564,                 1.1566,                0.97646,             0.00067159,             0.00067159,             0.00067159
                      5,                0.78107,                0.98531,                 1.0361,                0.78418,                0.81069,                0.87881,                0.69786,                0.73056,                 1.1181,                0.97382,             0.00065745,             0.00065745,             0.00065745
                      6,                0.77413,                0.91635,                  1.034,                 0.8289,                0.77331,                0.86368,                 0.6961,                0.73261,                0.94443,                0.99695,             0.00064331,             0.00064331,             0.00064331
                      7,                0.76034,                0.88441,                 1.0473,                0.80808,                0.87921,                0.89839,                0.75897,                0.64305,                0.77258,                0.94819,             0.00062918,             0.00062918,             0.00062918
                      8,                 0.7146,                0.79828,                 1.0121,                0.82662,                0.90273,                0.91808,                0.75965,                0.68338,                0.72513,                0.94934,             0.00061504,             0.00061504,             0.00061504
                      9,                0.74101,                0.77279,                 1.0341,                0.87274,                0.85455,                0.92371,                0.77619,                0.62779,                0.69612,                0.92477,              0.0006009,              0.0006009,              0.0006009
                     10,                0.70544,                0.74161,                 1.0083,                0.92799,                0.88006,                0.94174,                0.81273,                0.60203,                0.62647,                 0.9089,             0.00058677,             0.00058677,             0.00058677
                     11,                0.68617,                0.73321,                0.99562,                 0.8864,                0.90278,                0.94465,                0.81377,                0.60067,                0.57284,                 0.9215,             0.00057263,             0.00057263,             0.00057263
                     12,                0.68666,                 0.7009,                 1.0081,                0.88438,                0.89017,                0.94619,                0.79911,                0.63316,                0.60734,                0.94191,             0.00055849,             0.00055849,             0.00055849
                     13,                0.65939,                0.67837,                0.98464,                0.91315,                0.89881,                0.95578,                 0.8144,                0.58009,                0.59865,                0.89838,             0.00054435,             0.00054435,             0.00054435
                     14,                0.63842,                0.61444,                0.96283,                0.87516,                0.89405,                0.94323,                0.80994,                 0.6001,                0.57746,                0.90542,             0.00053022,             0.00053022,             0.00053022
                     15,                0.65242,                0.61968,                 1.0015,                0.85596,                0.91337,                0.94432,                0.81659,                0.58412,                0.60383,                0.90693,             0.00051608,             0.00051608,             0.00051608
                     16,                0.62697,                 0.6187,                0.96699,                0.87545,                0.88063,                0.94174,                0.82197,                0.55716,                0.55781,                0.89665,             0.00050194,             0.00050194,             0.00050194
